"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","SSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","SSMS PageCUSUM (gamma=0.15)","ssms_pagecusum_gamma_0_15",0.05,150.846021526547,304.20125804142,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.495875732065537,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.1)","ssms_mosum_h_0_1",0.05,1851.96602714869,1641.62313585956,TRUE,55,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-20,4,4,1.12813104706824,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.2)","ssms_mosum_h_0_2",0.05,1070.39069017326,1481.80463430385,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.722356149652702,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0, InvSqrt)","ssms_weightedcusum_gamma_0_invsqrt",0.05,283.799653155073,318.916792604034,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.889886201468975,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","ssms_weightedcusum_gamma_0_15_invsqrt",0.05,754.230107632733,589.224527113625,TRUE,52,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-17,1,1,1.2800385471518,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","SSMS MultiscaleMOSUM (H050_100_200, Equal)","ssms_multiscalemosum_h050_100_200_equal",0.05,2220.73827621949,1735.35932224838,TRUE,52,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-17,1,1,1.2796993958244,"SSMS, KS, gamma=NA"
"Benchmark","RSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0)","rsms_fullcusum_gamma_0",0.05,19.9344811322063,5.95489938022862,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.34757648439746,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0)","rsms_pagecusum_gamma_0",0.05,70.675608801769,6.54437337623738,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,10.7994462935737,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0.15)","rsms_fullcusum_gamma_0_15",0.05,23.704041523593,7.02228813631731,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.37554384887773,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0.15)","rsms_pagecusum_gamma_0_15",0.05,136.021384599918,8.16166130784747,TRUE,38,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-26,-13,-19,16.6658942915375,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.1)","rsms_mosum_h_0_1",0.05,2271.15189529035,40.8281082923582,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,55.6271644776508,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.2)","rsms_mosum_h_0_2",0.05,1117.43033485322,37.640838161957,TRUE,44,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-05,-7,-11,29.686648582193,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0, InvSqrt)","rsms_weightedcusum_gamma_0_invsqrt",0.05,255.908782879871,8.13154103333889,TRUE,38,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-26,-13,-19,31.4711297441234,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","rsms_weightedcusum_gamma_0_15_invsqrt",0.05,680.106922999588,14.3705654855853,TRUE,36,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-24,-15,-21,47.3263855679015,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","RSMS MultiscaleMOSUM (H050_100_200, Equal)","rsms_multiscalemosum_h050_100_200_equal",0.05,3189.05880210151,43.0535649384282,TRUE,21,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-01-31,-30,-45,74.0718871169495,"RSMS, KS, gamma=NA"
"Benchmark","HAC","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0)","hac_fullcusum_gamma_0",0.05,8.74651438147419,9.03703592021782,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.967852120838242,"HAC, KS, gamma=0.00"
"Benchmark","HAC","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0)","hac_pagecusum_gamma_0",0.05,26.8938764853503,9.88381456126902,TRUE,45,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-06,-6,-10,2.72100172647283,"HAC, KS, gamma=0.00"
"Benchmark","HAC","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0.15)","hac_fullcusum_gamma_0_15",0.05,10.4004583169314,9.83097076467925,TRUE,64,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-04-02,13,17,1.05792790619398,"HAC, KS, gamma=0.15"
"Benchmark","HAC","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0.15)","hac_pagecusum_gamma_0_15",0.05,46.2030989319273,11.3419870830069,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,4.07363353474022,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.1)","hac_mosum_h_0_1",0.05,677.551805695458,43.7638959767889,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,15.4819809930727,"HAC, KS, gamma=NA"
"Benchmark","HAC","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.2)","hac_mosum_h_0_2",0.05,363.607733416784,42.6185674893304,TRUE,46,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-09,-5,-7,8.53167421706076,"HAC, KS, gamma=NA"
"Benchmark","HAC","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0, InvSqrt)","hac_weightedcusum_gamma_0_invsqrt",0.05,82.142396072252,9.70331885925567,TRUE,40,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-28,-11,-17,8.46539181734702,"HAC, KS, gamma=0.00"
"Benchmark","HAC","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0.15, InvSqrt)","hac_weightedcusum_gamma_0_15_invsqrt",0.05,218.302832797799,15.1558558568002,TRUE,39,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-27,-12,-18,14.4038604523841,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","HAC MultiscaleMOSUM (H050_100_200, Equal)","hac_multiscalemosum_h050_100_200_equal",0.05,790.960046583498,46.1653864872551,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,17.1331836851806,"HAC, KS, gamma=NA"
"Benchmark","SSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0)","ssms_fullcusum_gamma_0",0.05,21.8756772679331,262.704644564047,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.0832709954718742,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS PageCUSUM (gamma=0)","ssms_pagecusum_gamma_0",0.05,82.4464574029882,326.726624287013,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.252340798926025,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0.15)","ssms_fullcusum_gamma_0_15",0.05,26.0123129805492,293.26501256223,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.088698998742748,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","SSMS PageCUSUM (gamma=0.15)","ssms_pagecusum_gamma_0_15",0.05,150.846021526547,396.679813302753,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.380271484627876,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.1)","ssms_mosum_h_0_1",0.05,1851.96602714869,1793.72297786285,TRUE,55,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-20,4,4,1.03247048178824,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.2)","ssms_mosum_h_0_2",0.05,1070.39069017326,1687.93639584849,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.634141602021204,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0, InvSqrt)","ssms_weightedcusum_gamma_0_invsqrt",0.05,283.799653155073,374.432066936452,FALSE,NA,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,NA,NA,NA,0.757946976809651,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","ssms_weightedcusum_gamma_0_15_invsqrt",0.05,754.230107632733,643.033745315439,TRUE,52,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-17,1,1,1.17292461418607,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","SSMS MultiscaleMOSUM (H050_100_200, Equal)","ssms_multiscalemosum_h050_100_200_equal",0.05,2220.73827621949,1921.6936096779,TRUE,52,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-17,1,1,1.1556151641633,"SSMS, KS, gamma=NA"
"Benchmark","RSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0)","rsms_fullcusum_gamma_0",0.05,19.9344811322063,7.77973721611537,TRUE,50,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-13,-1,-3,2.56235918752024,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0)","rsms_pagecusum_gamma_0",0.05,70.675608801769,9.04452317334393,TRUE,41,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-02,-10,-14,7.81418848149614,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0.15)","rsms_fullcusum_gamma_0_15",0.05,23.704041523593,8.54636803638089,TRUE,50,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-13,-1,-3,2.77358070968716,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0.15)","rsms_pagecusum_gamma_0_15",0.05,136.021384599918,10.5235358310073,TRUE,39,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-27,-12,-18,12.9254450960422,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.1)","rsms_mosum_h_0_1",0.05,2271.15189529035,44.8067199163894,TRUE,39,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-27,-12,-18,50.6877517374265,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.2)","rsms_mosum_h_0_2",0.05,1117.43033485322,42.7656392679693,TRUE,44,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-03-05,-7,-11,26.1291624299453,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0, InvSqrt)","rsms_weightedcusum_gamma_0_invsqrt",0.05,255.908782879871,9.52914218878152,TRUE,38,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-26,-13,-19,26.8553850714021,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)","rsms_weightedcusum_gamma_0_15_invsqrt",0.05,680.106922999588,15.7896359983433,TRUE,36,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-02-24,-15,-21,43.0729956707645,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","RSMS MultiscaleMOSUM (H050_100_200, Equal)","rsms_multiscalemosum_h050_100_200_equal",0.05,3189.05880210151,47.7056706114746,TRUE,21,5,"5",4,50,2019-10-21,2019-12-31,2020-01-02,2020-12-28,2020-01-31,-30,-45,66.8486316453635,"RSMS, KS, gamma=NA"
