"T","Detector","Method","Gamma","h","Omega","Hset","Statistic","Critical value","Stat./CV","Reject?","First signal"
1,"Weighted CUSUM","HAC","gamma=0.00","","InvSqrt","","61.26","7.68","7.98","Yes","27 Feb 2020"
1,"Weighted CUSUM","HAC","gamma=0.15","","InvSqrt","","199.26","13.32","14.96","Yes","27 Feb 2020"
1,"Weighted CUSUM","RSMS","gamma=0.00","","InvSqrt","","212.87","6.95","30.62","Yes","24 Feb 2020"
1,"Weighted CUSUM","RSMS","gamma=0.15","","InvSqrt","","565.72","13.06","43.32","Yes","24 Feb 2020"
1,"Weighted CUSUM","SSMS","gamma=0.00","","InvSqrt","","154.83","275.30","0.56","No","No signal"
1,"Weighted CUSUM","SSMS","gamma=0.15","","InvSqrt","","503.66","541.58","0.93","No","No signal"
1,"Multiscale MOSUM","HAC","","","","H050_100_200","306.66","40.85","7.51","Yes","27 Feb 2020"
1,"Multiscale MOSUM","RSMS","","","","H050_100_200","865.16","38.17","22.67","Yes","31 Jan 2020"
1,"Multiscale MOSUM","SSMS","","","","H050_100_200","717.08","1526.45","0.47","No","No signal"
1,"Page-CUSUM","HAC","gamma=0.00","","","","23.93","5.52","4.34","Yes","02 Mar 2020"
1,"Page-CUSUM","HAC","gamma=0.15","","","","40.01","7.32","5.46","Yes","02 Mar 2020"
1,"Page-CUSUM","RSMS","gamma=0.00","","","","70.68","4.74","14.92","Yes","26 Feb 2020"
1,"Page-CUSUM","RSMS","gamma=0.15","","","","125.93","6.39","19.70","Yes","26 Feb 2020"
1,"Page-CUSUM","SSMS","gamma=0.00","","","","60.14","175.94","0.34","No","No signal"
1,"Page-CUSUM","SSMS","gamma=0.15","","","","100.54","242.98","0.41","No","No signal"
1,"Full-CUSUM","HAC","gamma=0.00","","","","3.48","5.33","0.65","No","No signal"
1,"Full-CUSUM","HAC","gamma=0.15","","","","4.28","6.81","0.63","No","No signal"
1,"Full-CUSUM","RSMS","gamma=0.00","","","","8.82","4.40","2.01","Yes","26 Feb 2020"
1,"Full-CUSUM","RSMS","gamma=0.15","","","","10.86","5.67","1.92","Yes","26 Feb 2020"
1,"Full-CUSUM","SSMS","gamma=0.00","","","","8.54","158.93","0.05","No","No signal"
1,"Full-CUSUM","SSMS","gamma=0.15","","","","10.51","204.40","0.05","No","No signal"
1,"MOSUM (h=0.1)","HAC","","0.1","","","215.09","39.37","5.46","Yes","02 Mar 2020"
1,"MOSUM (h=0.2)","HAC","","0.2","","","193.41","35.37","5.47","Yes","06 Mar 2020"
1,"MOSUM (h=0.1)","RSMS","","0.1","","","466.24","36.49","12.78","Yes","27 Feb 2020"
1,"MOSUM (h=0.2)","RSMS","","0.2","","","774.90","31.77","24.39","Yes","27 Feb 2020"
1,"MOSUM (h=0.1)","SSMS","","0.1","","","523.85","1465.24","0.36","No","No signal"
1,"MOSUM (h=0.2)","SSMS","","0.2","","","493.60","1231.22","0.40","No","No signal"
2,"Weighted CUSUM","HAC","gamma=0.00","","InvSqrt","","82.14","8.64","9.51","Yes","27 Feb 2020"
2,"Weighted CUSUM","HAC","gamma=0.15","","InvSqrt","","218.30","14.14","15.44","Yes","27 Feb 2020"
2,"Weighted CUSUM","RSMS","gamma=0.00","","InvSqrt","","255.91","8.13","31.47","Yes","26 Feb 2020"
2,"Weighted CUSUM","RSMS","gamma=0.15","","InvSqrt","","680.11","14.37","47.33","Yes","24 Feb 2020"
2,"Weighted CUSUM","SSMS","gamma=0.00","","InvSqrt","","283.80","318.92","0.89","No","No signal"
2,"Weighted CUSUM","SSMS","gamma=0.15","","InvSqrt","","754.23","589.22","1.28","Yes","17 Mar 2020"
2,"Multiscale MOSUM","HAC","","","","H050_100_200","790.96","43.72","18.09","Yes","02 Mar 2020"
2,"Multiscale MOSUM","RSMS","","","","H050_100_200","3189.06","43.05","74.07","Yes","31 Jan 2020"
2,"Multiscale MOSUM","SSMS","","","","H050_100_200","2220.74","1735.36","1.28","Yes","17 Mar 2020"
2,"Page-CUSUM","HAC","gamma=0.00","","","","26.84","7.65","3.51","Yes","02 Mar 2020"
2,"Page-CUSUM","HAC","gamma=0.15","","","","46.20","9.26","4.99","Yes","02 Mar 2020"
2,"Page-CUSUM","RSMS","gamma=0.00","","","","70.68","6.54","10.80","Yes","27 Feb 2020"
2,"Page-CUSUM","RSMS","gamma=0.15","","","","136.02","8.16","16.67","Yes","26 Feb 2020"
2,"Page-CUSUM","SSMS","gamma=0.00","","","","82.45","236.97","0.35","No","No signal"
2,"Page-CUSUM","SSMS","gamma=0.15","","","","150.85","304.20","0.50","No","No signal"
2,"Full-CUSUM","HAC","gamma=0.00","","","","8.75","7.12","1.23","Yes","02 Apr 2020"
2,"Full-CUSUM","HAC","gamma=0.15","","","","10.40","8.31","1.25","Yes","01 Apr 2020"
2,"Full-CUSUM","RSMS","gamma=0.00","","","","19.93","5.95","3.35","Yes","27 Feb 2020"
2,"Full-CUSUM","RSMS","gamma=0.15","","","","23.70","7.02","3.38","Yes","27 Feb 2020"
2,"Full-CUSUM","SSMS","gamma=0.00","","","","21.88","205.26","0.11","No","No signal"
2,"Full-CUSUM","SSMS","gamma=0.15","","","","26.01","245.08","0.11","No","No signal"
2,"MOSUM (h=0.1)","HAC","","0.1","","","677.55","41.75","16.23","Yes","02 Mar 2020"
2,"MOSUM (h=0.2)","HAC","","0.2","","","363.61","39.45","9.22","Yes","09 Mar 2020"
2,"MOSUM (h=0.1)","RSMS","","0.1","","","2271.15","40.83","55.63","Yes","27 Feb 2020"
2,"MOSUM (h=0.2)","RSMS","","0.2","","","1117.43","37.64","29.69","Yes","05 Mar 2020"
2,"MOSUM (h=0.1)","SSMS","","0.1","","","1851.97","1641.62","1.13","Yes","20 Mar 2020"
2,"MOSUM (h=0.2)","SSMS","","0.2","","","1070.39","1481.80","0.72","No","No signal"
5,"Weighted CUSUM","HAC","gamma=0.00","","InvSqrt","","82.14","9.70","8.47","Yes","28 Feb 2020"
5,"Weighted CUSUM","HAC","gamma=0.15","","InvSqrt","","218.30","15.16","14.40","Yes","27 Feb 2020"
5,"Weighted CUSUM","RSMS","gamma=0.00","","InvSqrt","","255.91","9.53","26.86","Yes","26 Feb 2020"
5,"Weighted CUSUM","RSMS","gamma=0.15","","InvSqrt","","680.11","15.79","43.07","Yes","24 Feb 2020"
5,"Weighted CUSUM","SSMS","gamma=0.00","","InvSqrt","","283.80","374.43","0.76","No","No signal"
5,"Weighted CUSUM","SSMS","gamma=0.15","","InvSqrt","","754.23","643.03","1.17","Yes","17 Mar 2020"
5,"Multiscale MOSUM","HAC","","","","H050_100_200","790.96","46.17","17.13","Yes","02 Mar 2020"
5,"Multiscale MOSUM","RSMS","","","","H050_100_200","3189.06","47.71","66.85","Yes","31 Jan 2020"
5,"Multiscale MOSUM","SSMS","","","","H050_100_200","2220.74","1921.69","1.16","Yes","17 Mar 2020"
5,"Page-CUSUM","HAC","gamma=0.00","","","","26.89","9.88","2.72","Yes","06 Mar 2020"
5,"Page-CUSUM","HAC","gamma=0.15","","","","46.20","11.34","4.07","Yes","02 Mar 2020"
5,"Page-CUSUM","RSMS","gamma=0.00","","","","70.68","9.04","7.81","Yes","02 Mar 2020"
5,"Page-CUSUM","RSMS","gamma=0.15","","","","136.02","10.52","12.93","Yes","27 Feb 2020"
5,"Page-CUSUM","SSMS","gamma=0.00","","","","82.45","326.73","0.25","No","No signal"
5,"Page-CUSUM","SSMS","gamma=0.15","","","","150.85","396.68","0.38","No","No signal"
5,"Full-CUSUM","HAC","gamma=0.00","","","","8.75","9.04","0.97","No","No signal"
5,"Full-CUSUM","HAC","gamma=0.15","","","","10.40","9.83","1.06","Yes","02 Apr 2020"
5,"Full-CUSUM","RSMS","gamma=0.00","","","","19.93","7.78","2.56","Yes","13 Mar 2020"
5,"Full-CUSUM","RSMS","gamma=0.15","","","","23.70","8.55","2.77","Yes","13 Mar 2020"
5,"Full-CUSUM","SSMS","gamma=0.00","","","","21.88","262.70","0.08","No","No signal"
5,"Full-CUSUM","SSMS","gamma=0.15","","","","26.01","293.27","0.09","No","No signal"
5,"MOSUM (h=0.1)","HAC","","0.1","","","677.55","43.76","15.48","Yes","02 Mar 2020"
5,"MOSUM (h=0.2)","HAC","","0.2","","","363.61","42.62","8.53","Yes","09 Mar 2020"
5,"MOSUM (h=0.1)","RSMS","","0.1","","","2271.15","44.81","50.69","Yes","27 Feb 2020"
5,"MOSUM (h=0.2)","RSMS","","0.2","","","1117.43","42.77","26.13","Yes","05 Mar 2020"
5,"MOSUM (h=0.1)","SSMS","","0.1","","","1851.97","1793.72","1.03","Yes","20 Mar 2020"
5,"MOSUM (h=0.2)","SSMS","","0.2","","","1070.39","1687.94","0.63","No","No signal"
